# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/book/18_of_lowes_spade.md:87	the Company's	->	A' Chompanaidh's	|	n checked against the paper, for he did not trust the Company's post with the original and wo
CHANGE	eras/age_V/book/18_of_lowes_spade.md:91	a Company ship	->	a ship of A' Chompanaidh	|	He left Dia-thìr the following year, on a Company ship out of Ros dhomhain, with his
CHANGE	eras/age_V/book/18_of_lowes_spade.md:91	the Mission	->	Teachdaireachd na h-Eaglaise	|	at he had not paid for. He did not write again to the Mission that had sent him, nor, so fa
CHANGE	eras/age_V/book/18_of_lowes_spade.md:95	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	*Here the copyists of the cellar at Muileann chaol leave Lowe at the rail of his
CHANGE	eras/age_V/book/18_of_lowes_spade.md:97	Company contract	->	A' Chompanaidh's contract	|	er Voss had come to the island as a glazier under Company contract, to set the Residency's windo
CHANGE	eras/age_V/book/18_of_lowes_spade.md:97	the Residency's	->	Taigh an Àrd-mhaoir's	|	sland as a glazier under Company contract, to set the Residency's windows and the panes of the 
CHANGE	eras/age_V/book/18_of_lowes_spade.md:113	a Company agent	->	an agent of A' Chompanaidh	|	g of the sixty-seventh year, on {{date:IV-0143}}, a Company agent of thirty-seven with a paper 
CHANGE	eras/age_V/book/18_of_lowes_spade.md:113	the Company's	->	A' Chompanaidh's	|	own letter-book called generous, and generous, by the Company's reckoning, it was: a partners
CHANGE	eras/age_V/book/18_of_lowes_spade.md:113	the Company	->	A' Chompanaidh	|	silver of the guild's own vein, half the yield to the Company and half kept by the guild, w
CHANGE	eras/age_V/book/18_of_lowes_spade.md:113	the Company's	->	A' Chompanaidh's	|	d to the Company and half kept by the guild, with the Company's beam to weigh it and the Comp
CHANGE	eras/age_V/book/18_of_lowes_spade.md:113	the Company's	->	A' Chompanaidh's	|	he guild, with the Company's beam to weigh it and the Company's road to carry it, in place of
CHANGE	eras/age_V/book/18_of_lowes_spade.md:117	the Company's	->	A' Chompanaidh's	|	t it voted on. Ùna made him read the paragraph on the Company's beam a third time, slowly, an
CHANGE	eras/age_V/book/18_of_lowes_spade.md:121	the Company's	->	A' Chompanaidh's	|	Gale said there was the Company's protection, in years when the
CHANGE	eras/age_V/book/18_of_lowes_spade.md:121	the Company's	->	A' Chompanaidh's	|	rotection, in years when the silver ran thin, and the Company's markets, which reached furthe
CHANGE	eras/age_V/book/18_of_lowes_spade.md:123	your Company	->	A' Chompanaidh	|	"We have had thin years before your Company came to this island," said Ùn
CHANGE	eras/age_V/book/18_of_lowes_spade.md:131	the Company's	->	A' Chompanaidh's	|	The deep galleries that the Company's surveys had marked below the 
CHANGE	eras/age_V/book/18_of_lowes_spade.md:133	The Company	->	A' Chompanaidh	|	The Company built nothing there that firs
CHANGE	eras/age_V/book/18_of_lowes_spade.md:137	a Company contract	->	a contract of A' Chompanaidh	|	Aois Naomh and had never, in all that time, taken a Company contract, holding, as their eldest wea
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:7	the Company	->	A' Chompanaidh	|	t had houses before it had a name that anyone but the Company used. Beitris Bhàn came to it
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:9	The Company	->	A' Chompanaidh	|	She found the camp built of itself. The Company had sunk its shaft into the h
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:13	the Company	->	A' Chompanaidh	|	 worked the far end of the deepest gallery, where the Company had run its air-shaft down fr
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:13	the Company's	->	A' Chompanaidh's	|	d Beathag Dhubh of Doire mhòr on the day she sent the Company's man back down the hill unansw
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:13	the Company	->	A' Chompanaidh	|	ried water up to Doire mhòr for two summers after the Company took the stream, and then gon
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:15	the Company	->	A' Chompanaidh	|	he nine of that first winter were laid in a field the Company had not yet found a use for, 
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:19	The Company	->	A' Chompanaidh	|	The Company put its road in before it put
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:21	the Company	->	A' Chompanaidh	|	The next year the Company raised a great steelyard on t
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:21	a Company clerk	->	a clerk of A' Chompanaidh	|	ut in tons and hundredweights read off a scale by a Company clerk who had never gone below in h
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:21	the silver guild's	->	Comann an Airgid's	|	 and then it did not. Ùna nic Choinnich, who kept the silver guild's own scales at Muileann chiar 
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:21	the Company's	->	A' Chompanaidh's	|	ileann chiar and had refused twice already to let the Company's weights anywhere near her own
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:23	the Company	->	A' Chompanaidh	|	That was also the year the Company opened its second coal stage,
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:23	the Company	->	A' Chompanaidh	|	 by men who had seen her, that within a few years the Company would send nothing else, and 
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:39	the Company	->	A' Chompanaidh	|	f the camp, at the far end of the deepest gallery the Company had opened, with his lamp hun
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:41	the Hollow Man	->	Marbh-bheò	|	ove all his life, at his grandmother's knee, with the Hollow Man and the white stag and the re
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:61	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	at day, his wife said, black, and grown thin, and the Mission's surgeon at the camp had liste
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:61	the lung-rot	->	Grodadh nan Scamhan	|	pits of their own country, which the crews called the lung-rot among themselves, and had giv
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:69	the Ford of Blood	->	Àth na Fala	|	ng four thousand years and more before he fell at the Ford of Blood, and whose children, the tale
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:79	the silver guild	->	Comann an Airgid	|	uileann chiar that Ùna nic Choinnich, who had led the silver guild for near forty years and had 
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:79	the Company	->	A' Chompanaidh	|	r guild for near forty years and had twice turned the Company away from its seam, once at t
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:79	the Commissioner	->	An t-Àrd-mhaor	|	r own bed, eighty-five years old, having outlived the Commissioner who signed her compact. The c
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:79	Commissioners	->	Àrd-mhaoir	|	s dying with more feeling than they had shown for Commissioners who had actually ridden throu
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:81	the Company	->	A' Chompanaidh	|	s through those years as it had always kept them, the Company suffering the custom because 
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:81	the Company	->	A' Chompanaidh	|	efore they carried the rest to the steelyard, and the Company let the practice stand, for a
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:81	the Company's	->	A' Chompanaidh's	|	ills, tending the stone and the flame there while the Company's new shafts went down all arou
CHANGE	eras/age_V/book/19_of_the_smoke_in_the_gallery.md:83	a Commissioner	->	an Àrd-mhaor	|	ecause the cost was smaller still or because even a Commissioner who could not see the colour 
CHANGE	eras/age_V/book/20_of_the_green_death.md:17	the green acre	->	An Acair Uaine	|	ithout anyone deciding it should: an Acair Uaine, the green acre. Beitris helped dig the first
CHANGE	eras/age_V/book/20_of_the_green_death.md:29	The Company's	->	A' Chompanaidh's	|	of, walls, bedding and all, before the next dark. The Company's agent at Àth ghlas protested 
CHANGE	eras/age_V/book/20_of_the_green_death.md:29	the Company's	->	A' Chompanaidh's	|	e with the same line copied out fresh: the hut is the Company's; the ground under it is the c
CHANGE	eras/age_V/book/20_of_the_green_death.md:35	the Administration's	->	Riaghaltas nan Coigreach's	|	Nathaniel Bright had been the Administration's physician at Muileann chrom n
CHANGE	eras/age_V/book/20_of_the_green_death.md:37	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 summer of the sickness, in the small room behind the Mission's dispensary at Muileann chrom 
CHANGE	eras/age_V/book/20_of_the_green_death.md:39	the Administration	->	Riaghaltas nan Coigreach	|	begun keeping without being asked to by anyone in the Administration, because nobody else was keep
CHANGE	eras/age_V/book/20_of_the_green_death.md:47	the Mission	->	Teachdaireachd na h-Eaglaise	|	ann chrom the following spring, and was buried by the Mission with the honours the Administ
CHANGE	eras/age_V/book/20_of_the_green_death.md:47	the Administration	->	Riaghaltas nan Coigreach	|	g, and was buried by the Mission with the honours the Administration gave its own, in ground apart
CHANGE	eras/age_V/book/20_of_the_green_death.md:47	the green acre	->	An Acair Uaine	|	Administration gave its own, in ground apart from the green acre and the field at Cnoc naomh, 
CHANGE	eras/age_V/book/20_of_the_green_death.md:51	Commissioner	->	Àrd-mhaor	|	Walter Crane had been Commissioner twelve years when the sicknes
CHANGE	eras/age_V/book/20_of_the_green_death.md:53	the Residency	->	Taigh an Àrd-mhaoir	|	 visit. Before the winter was out he was dead, at the Residency above Ros dhomhain, in a bed 
CHANGE	eras/age_V/book/20_of_the_green_death.md:53	the Company's	->	A' Chompanaidh's	|	 twice got out of to answer letters. Martha Gale, the Company's agent, held his seal for the 
CHANGE	eras/age_V/book/20_of_the_green_death.md:55	the Residency	->	Taigh an Àrd-mhaoir	|	ce, without apparent discomfort, to the clerks of the Residency on his first morning, that th
CHANGE	eras/age_V/book/20_of_the_green_death.md:57	the Residency	->	Taigh an Àrd-mhaoir	|	ess ran its worst. He kept his own letter-book at the Residency, in a fair clerk's hand that 
CHANGE	eras/age_V/book/20_of_the_green_death.md:57	the Green Death	->	A' Phlàigh Uaine	|	n at last he set down his opinion of the cause of the Green Death for the Company's directors o
CHANGE	eras/age_V/book/20_of_the_green_death.md:57	the Company's	->	A' Chompanaidh's	|	n his opinion of the cause of the Green Death for the Company's directors over the sea, he ga
CHANGE	eras/age_V/book/20_of_the_green_death.md:61	the Green Death	->	A' Phlàigh Uaine	|	em in every other way they could. In the years of the Green Death, the overseers' own reports, 
CHANGE	eras/age_V/book/20_of_the_green_death.md:61	the Administration	->	Riaghaltas nan Coigreach	|	ts, kept with more care than almost anything else the Administration wrote down in those years, si
CHANGE	eras/age_V/book/20_of_the_green_death.md:63	Commissioner	->	Àrd-mhaor	|	eport and was, so far as anyone below the rank of Commissioner ever discovered, entirely tru
CHANGE	eras/age_V/book/20_of_the_green_death.md:75	the Mission	->	Teachdaireachd na h-Eaglaise	|	Beitris Bhàn's door for the first time. No one at the Mission had sent her and no custodian
CHANGE	eras/age_V/book/20_of_the_green_death.md:75	the Green Death's	->	A' Phlàigh Uaine's	|	e layer-out at Achadh dhomhain had washed more of the Green Death's dead with her own hands than 
CHANGE	eras/age_V/book/20_of_the_green_death.md:79	the Company	->	A' Chompanaidh	|	ver the dead of Achadh dhomhain since long before the Company came, said now for a woman wh
CHANGE	eras/age_V/book/20_of_the_green_death.md:89	the Administration	->	Riaghaltas nan Coigreach	|	s most weeks. Neither of them ever spoke of it to the Administration or to the custodians as anyth
CHANGE	eras/age_V/book/20_of_the_green_death.md:89	the two who washed together	->	An Dithis a Nigh Còmhla	|	hat grew up around it, *An Dithis a Nigh Còmhla*, the two who washed together, was said in the camps for ye
CHANGE	eras/age_V/book/20_of_the_green_death.md:93	the Residency	->	Taigh an Àrd-mhaoir	|	ght's book, with its broken-off row, was filed at the Residency and never taken up again by a
CHANGE	eras/age_V/book/20_of_the_green_death.md:95	the Company's	->	A' Chompanaidh's	|	George Tolley's letter to the Company's directors, the one setting th
CHANGE	eras/age_V/book/20_of_the_green_death.md:95	the Residency	->	Taigh an Àrd-mhaoir	|	he order he believed them to stand, was copied at the Residency into the bound letter-book th
CHANGE	eras/age_V/book/20_of_the_green_death.md:95	Commissioner	->	Àrd-mhaor	|	r-book that Lisle's successor had begun and every Commissioner after kept, each adding his o
CHANGE	eras/age_V/book/20_of_the_green_death.md:95	a Commissioner	->	an Àrd-mhaor	|	since that at least could not be laid at any door a Commissioner might one day wish to walk th
CHANGE	eras/age_V/book/20_of_the_green_death.md:97	Commissioner's	->	Àrd-mhaor's	|	 asked to breathe so much of the hill at once, no Commissioner's letter-book ever said a plain
CHANGE	eras/age_V/book/20_of_the_green_death.md:97	the green acre	->	An Acair Uaine	|	amps needed no letter-book to tell them. They had the green acre, and the field at Cnoc naomh 
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:3	the Levy	->	An Togail	|	*Part Four: Of the Levy, the Hunger and the Drought*
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:13	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	n sending a servant to do it, which was more than the Mission's own ministers had done.
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:21	The high custodian's	->	Ceann a' Chùraim's	|	hearg to write to about any of it, not that year. The high custodian's seat, Ceann a' Chùraim, had s
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:25	the Green Death	->	A' Phlàigh Uaine	|	the deepest gallery working through the height of the Green Death, on the word of a surveyor fr
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:97	the old reverence	->	An Seann Urram	|	ls to the paler grey of the silver country, where the old reverence for the vein still held in a 
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:99	the silver guild	->	Comann an Airgid	|	Comann an Airgid, the silver guild, had never worked easily with
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:99	(appositive)	->	Comann an Airgid	|	dropped the English gloss beside Comann an Airgid
CHANGE	eras/age_V/book/21_of_the_eleven_days_of_baile_thais.md:101	the silver guild	->	Comann an Airgid	|	 went, and that Catrìona nic Eachainn, refiner of the silver guild from that autumn to the end o
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:9	the Company	->	A' Chompanaidh	|	h nothing but the clothes she stood in and a name the Company had marked as one not to be h
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:9	no Company clerk	->	no clerk of A' Chompanaidh	|	uched it, how to keep the ledger that answered to no Company clerk, how the guild's own price fo
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:15	the Administration	->	Riaghaltas nan Coigreach	|	own, where the burn ran warm out of the hillside, the Administration had built a bath-house that a
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:17	the Company's	->	A' Chompanaidh's	|	sk of the island's own barley beer went out under the Company's mark, but a Muileann bhàn bro
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:19	The Company	->	A' Chompanaidh	|	The Company asked, that same year and the
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:19	the Company's	->	A' Chompanaidh's	|	 next, whether the guild would sell its silver at the Company's price rather than its own, an
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:25	no Residency clerk	->	no clerk of Taigh an Àrd-mhaoir	|	one, and had said among itself, in the hearing of no Residency clerk, that an empty seat answered 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:25	the Administration	->	Riaghaltas nan Coigreach	|	pty seat answered no letters and signed no papers the Administration might afterward hold against 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:27	the Residency	->	Taigh an Àrd-mhaoir	|	ad never once, in all that time, been summoned to the Residency for anything. He took the sea
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:27	the treaty in one tongue	->	Cùmhnant Cathair dhearg	|	 the same hall where Tormod mac Ailein had signed the treaty in one tongue, under the same beams, and sa
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:33	Macha's order	->	Òrd Mhacha	|	ver a thing that could not say it for itself, and Macha's order had said such words at Cathai
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:33	the Stone Kings	->	Rìghrean na Cloiche	|	ad said such words at Cathair dhearg since before the Stone Kings were a memory anyone kept who
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:35	the Residency	->	Taigh an Àrd-mhaoir	|	The letter was carried up from the Residency by a boy in a Company coat wh
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:35	a Company coat	->	a coat of A' Chompanaidh	|	ter was carried up from the Residency by a boy in a Company coat who did not know what he carr
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:35	the Administration	->	Riaghaltas nan Coigreach	|	it for an answer. It asked, in the courteous hand the Administration used for everything it meant 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:45	the Residency's	->	Taigh an Àrd-mhaoir's	|	 with the whole order in their grey and black and the Residency's clerk standing at the door wi
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:45	a Commissioner's	->	an Àrd-mhaor's	|	 did not come; he sent word that the ordinance of a Commissioner's presence would overweight a r
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:49	the Residency's	->	Taigh an Àrd-mhaoir's	|	th was not a woman to make an example in front of the Residency's clerk. But that night, over t
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:53	the Residency's	->	Taigh an Àrd-mhaoir's	|	he stopped walking the lower town on the mornings the Residency's clerks changed their coin at 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:53	a Residency satchel	->	a satchel of Taigh an Àrd-mhaoir	|	d did not again stand at the temple door to watch a Residency satchel carried out into the town, th
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:57	a Residency crier	->	a crier of Taigh an Àrd-mhaoir	|	r the blessing, read out at every market cross by a Residency crier who did not trouble to soften
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:57	the Administration	->	Riaghaltas nan Coigreach	|	d down a second time against the mark, on a table the Administration alone had drawn, and no custo
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:63	the Company's	->	A' Chompanaidh's	|	g boats. It sold eleven of its two-and-twenty, at the Company's own asking price, which was l
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:63	the Company	->	A' Chompanaidh	|	 Company's own asking price, which was low, since the Company was the only buyer on that co
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:63	the Company's	->	A' Chompanaidh's	|	ats went into the pits the following season under the Company's contracts, because a man who 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:65	the Company	->	A' Chompanaidh	|	e was coming to understand the shape of the thing the Company was building, one small cheap
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:69	The Administration	->	Riaghaltas nan Coigreach	|	The Administration struck a new coin the year af
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:69	the Residency's	->	Taigh an Àrd-mhaoir's	|	the second time, larger than the old and stamped, the Residency's letter said, so that no forge
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:85	the Residency	->	Taigh an Àrd-mhaoir	|	Word of the refusal reached the Residency within the month, as such wor
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:85	the Residency's	->	Taigh an Àrd-mhaoir's	|	very market on the island with or without it. But the Residency's letter-book that year notes, 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:85	Administration papers	->	Riaghaltas nan Coigreach's papers	|	say what the nicety was, which is as much as most Administration papers ever granted the order's reas
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:91	the Ford of Blood	->	Àth na Fala	|	hom the gods crowned in the grove and who fell at the Ford of Blood; and most of those who said i
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:93	the Administration	->	Riaghaltas nan Coigreach	|	 these years, to keep out of their rolls whatever the Administration might read as a claim, and a 
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:97	the sacred forest	->	Coille Naomh Cnoc bheag	|	 as he did, and walked north to Cnoc bheag, where the sacred forest had stood since before the or
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:101	the Company's	->	A' Chompanaidh's	|	 other towns who had lost their seats outright to the Company's magistrates and the Residency
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:101	the Residency's	->	Taigh an Àrd-mhaoir's	|	r seats outright to the Company's magistrates and the Residency's displeasure and had nowhere e
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:111	the Mission	->	Teachdaireachd na h-Eaglaise	|	ear, the first of the overseer's line schooled at the Mission at Ros dhomhain, who was said
CHANGE	eras/age_V/book/22_of_the_priced_silver_and_the_blessed_coin.md:111	the Company	->	A' Chompanaidh	|	ep his household in Dia-thìris and his reports to the Company in the humans' own tongue, an
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:13	the Administration's	->	Riaghaltas nan Coigreach's	|	er as they had burned them the winter before, and the Administration's clerks at Ros dhomhain wrote 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:13	Commissioner	->	Àrd-mhaor	|	limbed. It was George Tolley's thirteenth year as Commissioner, and by then he had learned w
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:13	the Levy	->	An Togail	|	s seal to a single sheet and called it An Togail, the Levy: from every farming village o
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:13	the Company's	->	A' Chompanaidh's	|	ken for two years, to go down into the pits where the Company's coal was cut. The villages wo
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:13	(appositive)	->	An Togail	|	dropped the English gloss beside An Togail
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:17	the Company's	->	A' Chompanaidh's	|	orning, four of them and a wagon, with a guard of the Company's men the town had not asked fo
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:19	the Levy	->	An Togail	|	with a bad hip who had held the post since before the Levy was thought of, wrote at the 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:19	the Administration's	->	Riaghaltas nan Coigreach's	|	ght of, wrote at the end of it a single line that the Administration's own reader, when the roll cro
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:21	the Administration	->	Riaghaltas nan Coigreach	|	rd, so that the roll of Caol mhòr and the roll of the Administration disagree to this hour on how 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	The Levy's	->	An Togail's	|	The Levy's writ ran over the whole west 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Administration	->	Riaghaltas nan Coigreach	|	e humans' flocks two generations before, and that the Administration had since leased whole to its
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Levy	->	An Togail	|	ach household within the concession's bounds paid the Levy in full, while the human farm
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Administration	->	Riaghaltas nan Coigreach	|	hat the concession's leaseholders were tenants of the Administration and its charter, and the Levy
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Levy	->	An Togail	|	enants of the Administration and its charter, and the Levy touched the Administration's 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Administration's	->	Riaghaltas nan Coigreach's	|	inistration and its charter, and the Levy touched the Administration's own subjects only by the Admi
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:27	the Administration's	->	Riaghaltas nan Coigreach's	|	touched the Administration's own subjects only by the Administration's own leave, and that leave had
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:31	the Levy's	->	An Togail's	|	for the manner of its failing. Its custodians met the Levy's officers before the reading a
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:31	the Company's granary	->	Sìol-lann na Companaidh	|	d that it had been honoured as an offering toward the Company's granary, and that the Levy answered t
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:31	the Levy	->	An Togail	|	n offering toward the Company's granary, and that the Levy answered to no offering a tow
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:31	the Residency	->	Taigh an Àrd-mhaoir	|	 complaint that Muileann naomh sent after them to the Residency at Ros dhomhain was received,
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:33	the Administration	->	Riaghaltas nan Coigreach	|	into every town they had not yet reached, and did the Administration more harm, in the way such ta
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:39	Commissioner's	->	Àrd-mhaor's	|	In the same season, and by the same Commissioner's hand though under a different
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:39	the Deer hall	->	Feallsanachd an Fhèidh's hall	|	ommissioner's hand though under a different seal, the Deer hall of the druid school at Dùn th
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:39	the druid school	->	Scoiltean nan Draoidhean	|	d though under a different seal, the Deer hall of the druid school at Dùn thais was shut. Its of
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:41	The Administration's	->	Riaghaltas nan Coigreach's	|	ok as proof that the matter had been well chosen. The Administration's clerk who was sent to note it
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:43	the Administration	->	Riaghaltas nan Coigreach	|	, where the white stag was said to walk and where the Administration had no hall to shut, having n
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:43	the Deer hall	->	Feallsanachd an Fhèidh's hall	|	those trees was the very question that had closed the Deer hall, taken up again from where th
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:53	the Levy	->	An Togail	|	tilled that whole year for want of the very hands the Levy had taken to build a light th
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:61	the Levy	->	An Togail	|	or the fields it had cost him. He did not forgive the Levy. A tower, he thought, climbin
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:63	the Levy's	->	An Togail's	|	nly wage of that kind either of them ever got for the Levy's taking.
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:69	The Company's	->	A' Chompanaidh's	|	sight before the next one rose to take its place. The Company's clerks at Ros dhomhain called
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:71	the Company's	->	A' Chompanaidh's	|	 within a few years of the ring's completion, for the Company's steamers no longer needed to 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:73	The Levy	->	An Togail	|	The Levy held Dùghall's crew at Baile 
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:73	the Administration's	->	Riaghaltas nan Coigreach's	|	hirty years old that autumn, chosen for the post, the Administration's letter said, on the recommend
CHANGE	eras/age_V/book/23_of_the_levy_and_the_ring_of_beacons.md:79	the Company's	->	A' Chompanaidh's	|	rs' daybooks would show, within a very few years, the Company's sailings past that headland d
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:13	the Company	->	A' Chompanaidh	|	grown men and women, for two years, to work under the Company, paid in marks at the new rat
